id,strategy,symbol,side,entryPrice,stopLoss,takeProfit1,takeProfit2,leverage,timestamp,metadata,createdAt,score,status
690,SimpleTrueOB,TRUTHUSDT,LONG,0.01130626,0.01113255,0.01151471,0.01200110,15,2026-01-10 11:10:00,"{""obTop"": 0.011363, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.011245, ""atrPercent"": 0.6419875302632466, ""positionSize"": 1326698.5668683674, ""positionValue"": 15000}",2026-01-10 11:15:00.01021,80.00,PENDING
691,SimpleTrueOB,TAUSDT,SHORT,0.04154669,0.04210690,0.04087444,0.03930585,15,2026-01-10 11:10:00,"{""obTop"": 0.04169, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.04142, ""atrPercent"": 0.9311445905178937, ""positionSize"": 361039.6005323072, ""positionValue"": 15000}",2026-01-10 11:15:00.050875,80.00,PENDING
692,SimpleTrueOB,GUNUSDT,LONG,0.02578016,0.02522520,0.02644610,0.02799997,15,2026-01-10 11:10:00,"{""obTop"": 0.02607, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.02548, ""atrPercent"": 1.255165847168215, ""positionSize"": 581842.8942727458, ""positionValue"": 15000}",2026-01-10 11:15:00.153039,80.00,PENDING
693,SimpleTrueOB,STABLEUSDT,SHORT,NaN,0.01460763,0.01419000,0.01363791,15,2026-01-10 11:00:00,"{""obTop"": 0.014479, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.01438, ""atrPercent"": 0.5996088885097102, ""strategies"": [""SimpleTrueOB"", ""SimpleTrueOB""], ""positionSize"": 1039745.0084978704, ""positionValue"": 15000, ""agreementCount"": 2}",2026-01-10 11:15:01.524601,100.00,PENDING
694,SimpleTrueOB,TRUTHUSDT,LONG,NaN,0.01124739,0.01151471,0.01201684,15,2026-01-10 11:15:00,"{""obTop"": 0.011437, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.011361, ""atrPercent"": 0.6790851495956506, ""strategies"": [""SimpleTrueOB"", ""SimpleTrueOB""], ""positionSize"": 1315641.7755838253, ""positionValue"": 15000, ""agreementCount"": 2}",2026-01-10 11:20:00.015725,100.00,PENDING
695,SimpleTrueOB,STXUSDT,LONG,0.37887576,0.37392300,0.38481907,0.39868680,15,2026-01-10 11:15:00,"{""obTop"": 0.3799, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.3777, ""atrPercent"": 0.6088237097345288, ""positionSize"": 39590.814677613576, ""positionValue"": 15000}",2026-01-10 11:20:00.326834,80.00,PENDING
696,SimpleTrueOB,1000PEPEUSDT,SHORT,0.00606144,0.00613141,0.00597747,0.00578156,15,2026-01-10 11:15:00,"{""obTop"": 0.0060707, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.0060546, ""atrPercent"": 0.30518722175223284, ""positionSize"": 2474660.519759515, ""positionValue"": 15000}",2026-01-10 11:20:01.035606,80.00,PENDING
697,SimpleTrueOB,FORMUSDT,LONG,0.38367672,0.37867500,0.38967878,0.40368360,15,2026-01-10 11:15:00,"{""obTop"": 0.3847, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.3825, ""atrPercent"": 0.36181525778427026, ""positionSize"": 39095.41345119923, ""positionValue"": 15000}",2026-01-10 11:20:01.236695,80.00,PENDING
698,SimpleTrueOB,TRUTHUSDT,LONG,NaN,0.01132164,0.01151471,0.01215243,15,2026-01-10 11:20:00,"{""obTop"": 0.011535, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.011436, ""atrPercent"": 0.7249183177102662, ""strategies"": [""SimpleTrueOB"", ""SimpleTrueOB""], ""positionSize"": 1305733.368149408, ""positionValue"": 15000, ""agreementCount"": 2}",2026-01-10 11:25:00.230414,100.00,PENDING
699,SimpleTrueOB,CAKEUSDT,LONG,1.98999792,1.96732800,2.01720182,2.08067760,15,2026-01-10 11:20:00,"{""obTop"": 1.992, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 1.9872, ""atrPercent"": 0.17931491335033886, ""positionSize"": 7537.696320808215, ""positionValue"": 15000}",2026-01-10 11:25:00.329943,80.00,CANCELED
